,music_titles,file_titles
0,4. Keyboard Concerto No. 5 in F Minor BWV 1056 - Largo_ 키보드 협주곡 제 5번 F단조 BWV 1056. 제2악장 라르고_ballad,
1,"9. Prelude, op.28-15(Rain Drop)_ 쇼팽 : 전주곡 15번 내림 라장조 작품번호 28-15 '빗방울'_ballad",
2,2. Frolicher Landmann_ 행복한 농부_ragtime,
3,27. Kinderszenen Op.15 - VII. Traumerei_ 어린이의 정경 중 꿈 작품번호 15_ballad,
4,"97. Symphony No. 5 in Cminor, Op.67_ 교향곡 제5번 다단조 [운명] OP.67_string",
5,11. The Swan(Le Cygne)_ 백조_fast swing,
6,94. Carmen Prelude_ 카르멘 서곡_string,
7,12. The Swan(Le Cygne)_ 백조_ballad,
8,101. Serenade No.13 in G Major K525 'Eine Kleins Nachtmusik'_ 세레나데 제 13번 사장조 '아이네 클라이네 나흐트 무지크'_string,
9,102. Symphony No. 8 in B minor. D759 'Unfinished'_ 교향곡 8번 나단조 D759 '미완성'_string,
10,23. Minuet In G Major BWV Anh. II 114_ 미뉴에트 사장조 BWV Anh. II 114_fast swing,
11,15. Sarabande_ 사라방드_easy listening,
12,17. Nocturne Op.9-2_ 녹턴 작품번호 9-2_funk,
13,34. Ave Maria_ 아베 마리아_ballad,
14,31. Songs my mother taught me op.55-4_ 어머니가 가르쳐 주신 노래 작품노래 55-4_ballad,
15,29. Salut D'amour In E Major Op.12_ 사랑의 인사 마장조 작품번호 12_uptempo swing,
16,53. Etude No.3 In E Major Op.10-3 'Tristesse'_ 에튀드 제 3번 마장조 작품번호 10-3 '내 맘속을 울리는 그대'_bossa nova,
17,55. Je Te Veux_ 난 그대를 원해요_ballad,
18,37. Jaqueline Du Pre - Jacqueline's Tears_ 자클린의 눈물_ballad,
19,39. Jaqueline Du Pre - Jacqueline's Tears_ 자클린의 눈물_bossa nova,
20,49. Liebestraum - Love Dream_ 사랑의 꿈_ballad,
21,43. Gymnopedie No.1 - Lent Et Douloureux_ 느리고 고통스럽게_waltz,
22,40. Auf Flugeln Des Gesanges Op.34-2_ 노래의 날개 위에 작품번호 34-2_ballad,
23,57. Je Te Veux_ 난 그대를 원해요_waltz,
24,58. Una Furtiva Lagrima Da L'Elisir d'Amore_ 남 몰래 흐르는 눈물_bossa nova,
25,85. Turkish March_ 터키행진곡_국악,
26,60. Una Furtiva Lagrima Da L'Elisir d'Amore_ 남 몰래 흐르는 눈물_ballad,
27,62. blumenlied (Flower Song)_ 꽃노래_uptempo swing,
28,63. blumenlied (Flower Song)_ 꽃노래_waltz,
29,64. Donau wellen walzer _ 다뉴브 강의 잔물결_easy listening,
30,65. Donau wellen walzer _ 다뉴브 강의 잔물결_ballad,
31,67. The seasons June_ 사계' 중 '6월'_ballad,
32,70. Consolation_ 위안_ballad,
33,71. Consolation_ 위안_uptempo swing,
34,47. Solveing's song_ 솔베이그의 노래_ballad,
35,뜰기로운 생활 로고송,
36,드릴 돌아가는 소리,
37,Ave Maria ver.1,
38,String Quartet No.17 - Serenade ver.3,
39,Symphony No.3 F Major op.90 ver.3,
40,Pavane op. 50 ver.3,
41,Sicilienne ver.2,
42,"Piano Sonata No.8 ""Pathetique"" 2nd mov. ver.2",
43,Je Te Veux (Prod. Erik Satie) Ver.1,
44,Je Te Veux (Prod. Erik Satie) Ver.2,
45,O Word Of God Incarnate ver.2,
46,Greensleeves,
47,Fröhlicher Landmann ver.1,097_R. Schumann_Fröhlicher Landmann ver.1.mp3
48,Fröhlicher Landmann ver.2,
49,Waves of the Danube,
50,Flute Sonata No.1 BWV 1030,
51,Adagio In G minor ver.6,
52,Piano Concerto No.5 BWV 1056 2nd Mov. Largo ver.2,
53,Variations On the Theme by Rossini,
54,"Beethoven Sonata ""Pathetique"" ver.2",
55,Greensleeves ver.2,094_Greensleeves ver.2.mp3
56,Pavane Op. 50 ver.4,
57,Symphony No.9 2nd Mov.Theme ver.3,091_A. Dvořák_Symphony No.9 2nd Mov.Theme ver.3.mp3
58,"The Seasons, June (Barcarolle) ver.2",
59,O Holy Night,
60,Swan Lake ver.2,
61,Symphony No.3 F op.90 ver.1,017_J. Brahms_Symphony No.3 F op.90 ver.1.mp3
62,O Divine Redeemer ver.2,019_C. Gounod_O Divine Redeemer ver.2.mp3
63,O Divine Redeemer ver.3,
64,For Elise ver.3,
65,String Quartet No.17 - Serenade ver.2,
66,La Cinquantaine ver.1,
67,Träumerei ver.1,001_R. Schumann_Träumerei ver.1.mp3
68,String Quartet No.17 - Serenade ver.1,002_F. J. Haydn_String Quartet No.17 - Serenade ver.1.mp3
69,O Divine Redeemer ver.1,003_C. Gounod_O Divine Redeemer ver.1.mp3
70,La Cinquantaine ver.3,
71,Habanera ver.1,
72,Adagio In G minor ver.1,
73,Habanera ver.3,005_G. Bizet_Habanera ver.3.mp3
74,Sicilienne ver.1,
75,Symphony No.9,
76,"Piano Sonata No.8 ""Pathetique"" 2nd mov. ver.1",
77,Rescuerdow De La Alhambra ver.2,043_F. Tarrega_Rescuerdow De La Alhambra ver.2.mp3
78,Romance ver.2,045_A. Rubinstein_Romance ver.2.mp3
79,Spring Song,
80,An Die Musik,
81,The Great Gate Of Kiev,
82,Piano Concerto In A minor ver.1,
83,Piano Concerto In A minor ver.2,
84,Marche Slav,
85,Ich Liebe Dich ver.1,
86,"Piano Sonata no.14 in C# minor ""Moonlight""",
87,Prelude In E Minor op.28 No.4,028_F. Chopin_Prelude In E Minor op.28 No.4.mp3
88,Fantasie - Impromptu op.66,
89,O Mio Babbino Caro ver.1,030_G. Puccini_O Mio Babbino Caro ver.1.mp3
90,Rescuerdow De La Alhambra ver.1,
91,O Word Of God Incarnate ver.1,
92,Pavane op. 50 ver.1,
93,Tais Meditation ver.1,034_J. Massenet_Tais Meditation ver.1.mp3
94,Vocalise,036_S. Rachmaninoff_Vocalise.mp3
95,Tais Meditation ver.2,
96,Pavane op. 50 ver.2,033_G. Faure_Pavane op. 50 ver.2.mp3
97,Songs My Mother Taught Me ver.1,
98,Adagio In G minor ver.7,110_T. Albinoni_Adagio In G minor ver.7.mp3
99,"Piano Concerto No. 5 ""Emperor"" 1st Movement",
100,"Piano Concerto No. 5 ""Emperor"" 3rd Movement",
101,"Piano Concerto No. 4, 1st Movement",
102,Für Elise (Bagatelle No. 25 in A Minor),
103,Symphony No. 2 in D Major 4th Movement,
104,"String quartet - Op. 76, no.5, in D major - IV",
105,Symphony No. 2,
106,"Symphony No. 3 in E-flat Major ""Eroica"" 4th Movement",
107,"Piano Sonata No. 29, Op. 106 1st Movement",
108,"6 Lieder, Op.48, No.1 - Bitten",
109,"6 Lieder, Op.48, No.3 - Vom Tode",
110,"Là-bas, vers l'église",
111,"6 Lieder, Op.48, No.6 - Busslied",
112,"6 Lieder, Op.48, No.5 - Gottes Macht und Vorsehung",
113,Symphony No. 8 in F Major First Movement,
114,Symphony No. 7 in A Major 4th Movement,
115,Symphony No. 5 in C Minor Second Movement,
116,Symphony No. 5 in C Minor First Movement,
117,Symphony No. 4 in B Flat Major Fourth Movement,
118,Symphony No. 4 in B Flat Major 3rd Movement,
119,"6 Songs, Op.7, No.6 - Heimkehr",
120,"Symphony No. 6 in F Major ""Pastoral"" 3rd Movement",
121,"Symphony No. 6 in F Major ""Pastoral"" 4th Movement",
122,"Symphony No. 6 in F Major ""Pastoral"" First Movement",
123,"6 Songs, Op.7, No.3 - Anklänge",
124,"Overture to the Musical ""Of Thee I Sing""",
125,Piano Concerto in F - III. Allegro agitato,
126,"Schwanengesang, No.13 - Der Doppelgänger",
127,Ballade No. 4 in F Minor,
128,Quel galant m'est comparable,
129,"4 Songs, Op.43, No.1 - Von ewiger Liebe",
130,"6 Songs, Op.7, No.2 - Parole",
131,"4 Songs, Op.43, No.3 - Ich schell mein Horn ins Jammertal",
132,"4 Songs, Op.43, No.2 - Die Mainacht",
133,"Kindertotenlieder, No.1 - Nun will die Sonn' so hell aufgeh'n!",
134,La Traviata: Parigi o cara,
135,Crisantemi,
136,"Kindertotenlieder, No.2 - Nun seh' ich wohl, warum so dunkle Flammen",
137,"Feuilles d'album, No.5 - Rose d'Amour",
138,"Kindertotenlieder, No.3 - Wenn dein Mütterlein",
139,"Kindertotenlieder, No.5 - In diesem Wetter",
140,"Kindertotenlieder, No.4 - Oft denk' ich sie sind nur ausgegangen",
141,"Schwanengesang, No.12 - Am Meer",
142,Tout gai!,
143,"Frauenliebe und Leben, Op.42, No.8 - Nun hast du mir den ersten Schmerz getan",
144,"Dichterliebe, Op.48, No.1 - Im wunderschönen Monat Mai",
145,"Dichterliebe, Op.48, No.2 - Aus meinen Thränen spriessen",
146,"Dichterliebe, Op.48, No.10 - Hör' ich das Liedchen klingen",
147,"Liederkreis, Op.39, No.9 - Wehmuth",
148,Sonate I in C Major (Allegro),
149,Symphony No. 40 - III - Menuetto,
150,Symphony No. 40 - II - Andante,
151,"Études-Tableaux, Op. 33, No. 8",
152,"Liederkreis, Op.39, No.12 - Frühlingsnacht",
153,"Liederkreis, Op.39, No.11 - Im Walde",
154,"Piano Sonata No. 2, Op.36: I",
155,"Concert Étude after Paganini's 2nd Caprice, Op. 10, No. 5",
156,Vocalise,
157,"Symphony No. 6 in B Minor - 4th Movement ""Pathétique""",
158,"Piano Sonata No. 2, Op.36: III",
159,"Concert Étude after Paganini's 12th Caprice, Op. 10, No. 1",
160,"Étude after Paganini's 16th Caprice, Op. 3, No. 6",
161,Violin Caprice No. 14 in E-Flat Major,
162,Violin Caprice No. 16 in G Minor,
163,Violin Caprice No. 19 in E-Flat Major,
164,Violin Caprice No. 20 in D Major,
165,Violin Caprice No. 21 in A Major,
166,Violin Caprice No. 22 in F Major,
167,Violin Caprice No. 12 in A-Flat Major,
168,Violin Caprice No. 11 in C Major,
169,Violin Caprice No. 10 in G Minor,
170,Violin Caprice No. 6 in G Minor,
171,Violin Caprice No. 5 in A Minor,
172,Violin Caprice No. 3 in E Minor,
173,"Overture To the Opera ""Tannhäuser""",
174,"Siegfried's Funeral March From the Opera ""Götterdämmerung""",
175,"Overture to the Opera ""Parsifal""",
176,"Étude after Paganini's 11th Caprice, Op. 3, No. 3",
177,"Étude after Paganini's 9th Caprice, Op. 3, No. 2",
178,"Étude after Paganini's 5th Caprice, Op. 3, No. 1",
179,"Schwanengesang, No.11 - Die Stadt",
180,Del Destin non dee lagnarsi,
181,The Four Seasons - Summer 3rd movement,
182,Largo dall'Inverno,
183,Andante from the Concerto for 2 Mandolins in G Major,
184,"6 Lieder, Op.23, No.6 - O Lust, o Lust",
185,"Poetic Tone Pictures, Op. 85, No. 1 Twilight Way",
186,"Die schöne Müllerin, No.19 - Der Müller und der Bach",
187,"Die schöne Müllerin, No.16 - Die liebe Farbe",
188,"Winterreise, No.2 - Die Wetterfahne",
189,"Winterreise, No.3 - Gefror'ne Thränen",
190,"Winterreise, No.23 - Die Nebensonnen",
191,"Schwanengesang, No.1 - Liebesbotschaft",
192,"Schwanengesang, No.2 - Kriegers Ahnung",
193,Allegro,
194,"Schwanengesang, No.6 - In der Ferne",
195,"Winterreise, No.21 - Das Wirtshaus",
196,"Winterreise, No.9 - Irrlicht",
197,"Winterreise, No.17 - Im Dorfe",
198,"Winterreise, No.13 - Die Post",
199,"6 Lieder, Op.1, No.1 - Schwanenlied",
200,"6 Lieder, Op.1, No.3 - Warum sind denn die Rosen so blass?",
201,"6 Lieder, Op.1, No.5 - Morgenständchen",
202,"Waltz, Op. 12, No. 2",
203,"Puck Op. 71, No. 3",
204,"Lyric Pieces, Op.38, No.4 'Halling' (Norwegian Dance)",
205,"5 Lieder, Op.10, No.3 - Abendbild",
206,Midsummer Nights' Dream (Paraphrase de Concert),
207,"Overture from ""A Midsummer's Night Dream Incidental Music"", Op. 61",
208,"Symphony No. 4 in A-Major, Op. 90, The Italian - 1st Movement",
209,Recuerdos De La Alhambra,
210,Alborada,
211,El Carnaval de Venecia,
212,Preludio No. 06,
213,Sad Time,
214,Wind drop,Wind drop.mp3
215,Many Days(매니 데이즈),
216,His Name(히즈 네임),LP1607130001_김재영_His Name.mp3
217,우리네 소리를 듣다,
218,You R Flower(유 아 플라워),LP1607180039_김재영_You R Flower.mp3
219,희망(Hope),
220,봄여름가을겨울,LP1607180003_김욱_Memory(봄여름가을겨울).mp3
221,Memory(메모리),
222,reminiscence(회상),
223,Re(리),
224,Tears,
225,새드니스(Sadness),
226,푸른 언덕,
227,해지는 저녁,
228,잠자는 방아,
229,작은별,
230,햇빛은쨍쨍,
231,수레,수레.mp3
232,소곰쟁이,
233,쪼각빗,
234,고향의 봄,
235,가을,
236,꽃밭,
237,댕댕이,
